   BENCHMARK INFORMATION
benchmark definition:    /input/student-heuristics-extract-features.xml
name:                    student-heuristics-extract-features
run sets:                AutomizerBplInline with feature extraction.Pdr
date:                    Thu, 2019-07-18 10:50:22 UTC
tool:                    ULTIMATE Automizer 0.1.24-3a3fd35b
tool executable:         ./Ultimate.py
options:                 
resource limits:
- memory:                8000.0 MB
- time:                  300 s
- cpu cores:             2
hardware requirements:
- cpu cores:             2
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    06b07f0a6637
os:                      Linux-4.15.0-54-generic-x86_64-with-debian-9.9
cpu:                     Intel Core i7-3770 CPU @ 3.40GHz
- cores:                 8
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     33637.937152000006 MB
------------------------------------------------------------



AutomizerBplInline with feature extraction.Pdr
Run set 1 of 1 with options '-tc /ultimate/trunk/examples/toolchains/AutomizerBplInline.xml --traceabstraction.use.heuristic.emptiness.check false --traceabstraction.extract.smt.features.during.analysis true --traceabstraction.smt.feature.extraction.dump.path /output/smt/ --traceabstraction.trace.refinement.strategy CAMEL_NO_AM' and propertyfile 'None'

inputfile                                                                                                              status                    cpu time   wall time        host
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
real-life/BigBranchingExample.bpl                                                                                      FALSE                       253.68      180.56        None
real-life/DraegerElevator-FSEN2007.bpl                                                                                 ERROR: EXCEPTION              7.10        4.25        None
real-life/Elevator-Integer.bpl                                                                                         ERROR: EXCEPTION             10.40        5.90        None
real-life/Elevator.bpl                                                                                                 ERROR: EXCEPTION              9.24        5.22        None
real-life/ElevatorWithAssignments.bpl                                                                                  ERROR: EXCEPTION              8.98        5.19        None
real-life/ElevatorWithSingleTransition.bpl                                                                             FALSE                         5.86        3.34        None
real-life/GateController.bpl                                                                                           ERROR: EXCEPTION              6.20        3.69        None
real-life/GateControllerIncorrect1.bpl                                                                                 ERROR: EXCEPTION              5.74        3.53        None
real-life/GripperTest-correct.bpl                                                                                      TRUE                          5.85        3.42        None
real-life/GripperTest-incorrect.bpl                                                                                    ERROR: EXCEPTION              6.40        3.84        None
real-life/GuiTestExample.bpl                                                                                           FALSE                        10.49        5.88        None
real-life/GuiTestExampleUnsafe.bpl                                                                                     FALSE                        10.55        5.89        None
real-life/RailwayCrossing-Incorrenct.bpl                                                                               ERROR: EXCEPTION              5.98        3.62        None
real-life/RailwayCrossing.bpl                                                                                          ERROR: EXCEPTION              6.16        3.73        None
real-life/USE_SimplifiedGripperTest.bpl                                                                                TRUE                          5.32        3.12        None
real-life/bank.bpl                                                                                                     FALSE                         5.51        3.16        None
real-life/divisibilityWithArray.bpl                                                                                    ERROR: EXCEPTION              7.89        4.66        None
real-life/s3_clnt_1_Safe.bpl                                                                                           ERROR: EXCEPTION             12.78        7.09        None
real-life/s3_clnt_1_Unsafe.bpl                                                                                         ERROR: EXCEPTION             12.89        7.27        None
real-life/tcas-correct.bpl                                                                                             TRUE                          6.58        3.82        None
real-life/tcas-incorrect.bpl                                                                                           FALSE                         6.47        3.67        None
real-life/tcas-woAssumption.bpl                                                                                        FALSE                         6.38        3.61        None
real-life/threadpooling_out.bpl                                                                                        ERROR: EXCEPTION             66.26       46.42        None
real-life/threadpooling_out2.mover.bpl                                                                                 ERROR: EXCEPTION             11.91        7.35        None
real-life/threadpooling_out3.bpl                                                                                       TIMEOUT (ERROR (143))       301.11      240.15        None
real-life/threadpooling_out3.mover.bpl                                                                                 TIMEOUT (ERROR (143))       301.18      234.05        None
real-life/threadpooling_out3_Reals.bpl                                                                                 TIMEOUT (ERROR (143))       301.20      240.44        None
real-life/threadpooling_out_Reals.bpl                                                                                  ERROR: EXCEPTION             64.78       45.24        None
real-life/threadpooling_product.bpl                                                                                    ERROR: EXCEPTION             10.71        6.24        None
real-life/threadpooling_product_WithProcedures.bpl                                                                     ERROR: EXCEPTION             12.37        7.33        None
real-life/threadpooling_product_WithoutIf.bpl                                                                          ERROR: EXCEPTION              9.64        5.77        None
20170319-ConjunctivePathPrograms/bhmr2007.c.i_3.bplTransformedIcfg_BEv2_3.bpl                                          ERROR: EXCEPTION              6.42        3.93        None
20170319-ConjunctivePathPrograms/cggmp2005.c.i_3.bplTransformedIcfg_BEv2_2.bpl                                         ERROR: EXCEPTION              5.70        3.50        None
