   BENCHMARK INFORMATION
benchmark definition:    /input/student-svcomp-extract-features.xml
name:                    student-svcomp-extract-features
run sets:                sv-comp19_prop-reachsafety, sv-comp19_prop-memsafety, sv-comp19_prop-nooverflow, sv-comp19_prop-termination
date:                    Thu, 2019-07-18 13:39:07 UTC
tool:                    ULTIMATE Automizer 0.1.24-3a3fd35b
tool executable:         ./Ultimate.py
options:                 --full-output
resource limits:
- memory:                8000.0 MB
- time:                  900 s
- cpu cores:             2
hardware requirements:
- cpu cores:             2
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    82a6a2e96af6
os:                      Linux-4.15.0-54-generic-x86_64-with-debian-9.9
cpu:                     Intel Core i7-3770 CPU @ 3.40GHz
- cores:                 8
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     33637.937152000006 MB
------------------------------------------------------------



sv-comp19_prop-reachsafety
Run set 1 of 4 with options '--full-output' and propertyfile 'None'

inputfile                                                                                                                                                                          status                    cpu time   wall time        host
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
array-examples/data_structures_set_multi_proc_ground-1.yml                                                                                                                         ERROR (7)                    16.15       10.32        None
array-examples/data_structures_set_multi_proc_ground-2.yml                                                                                                                         ERROR (7)                    16.39       10.23        None
array-examples/data_structures_set_multi_proc_trivial_ground.yml                                                                                                                   ERROR (7)                    16.02        9.86        None
array-examples/relax-2.yml                                                                                                                                                         ERROR (7)                    23.30       13.62        None
array-examples/sanfoundry_02_ground.yml                                                                                                                                            ERROR (7)                    15.80       10.03        None
array-examples/sanfoundry_10_ground.yml                                                                                                                                            ERROR (7)                    15.69        9.94        None
array-examples/sanfoundry_24-1.yml                                                                                                                                                 true                         10.46        6.23        None
array-examples/sanfoundry_27_ground.yml                                                                                                                                            ERROR (7)                    15.17        9.59        None
array-examples/sanfoundry_43_ground.yml                                                                                                                                            true                          7.13        4.37        None
array-examples/sorting_bubblesort_2_ground.yml                                                                                                                                     ERROR (7)                    15.99        9.93        None
array-examples/sorting_bubblesort_ground-1.yml                                                                                                                                     ERROR (7)                    15.98        9.99        None
array-examples/sorting_bubblesort_ground-2.yml                                                                                                                                     ERROR (7)                    15.85        9.85        None
array-examples/sorting_selectionsort_2_ground.yml                                                                                                                                  ERROR (7)                    16.75       10.23        None
array-examples/sorting_selectionsort_ground-1.yml                                                                                                                                  ERROR (7)                    16.56       10.33        None
array-examples/sorting_selectionsort_ground-2.yml                                                                                                                                  ERROR (7)                    16.33        9.90        None
array-examples/standard_allDiff2_ground.yml                                                                                                                                        ERROR (7)                    16.89       10.41        None
array-examples/standard_compareModified_ground.yml                                                                                                                                 ERROR (7)                    15.59       10.04        None
array-examples/standard_compare_ground.yml                                                                                                                                         ERROR (7)                    15.53        9.74        None
array-examples/standard_copy1_ground-1.yml                                                                                                                                         ERROR (7)                    15.10        9.81        None
array-examples/standard_copy1_ground-2.yml                                                                                                                                         ERROR (7)                    15.33        9.67        None
array-examples/standard_copy2_ground-1.yml                                                                                                                                         ERROR (7)                    15.97       10.08        None
array-examples/standard_copy2_ground-2.yml                                                                                                                                         ERROR (7)                    15.15        9.67        None
array-examples/standard_copy3_ground-1.yml                                                                                                                                         ERROR (7)                    15.25        9.73        None
